Timestamp,Protocol,Source IP,Source Port,Destination IP,Destination Port,Packet Size,TCP Flags
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,453,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,106,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,453,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,56788,773,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,418,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,426,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,436,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,534,-
2026-08-30 14:14:06,UDP,192.168.1.111,56788,159.124.61.107,8801,193,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,56788,1144,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,286,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:06,TCP,159.124.61.107,443,192.168.1.111,52091,60,A
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:06,TCP,159.124.61.107,443,192.168.1.111,52091,450,PA
2026-08-30 14:14:06,TCP,159.124.61.107,443,192.168.1.111,52091,610,PA
2026-08-30 14:14:06,TCP,192.168.1.111,52091,159.124.61.107,443,54,A
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,56788,539,-
2026-08-30 14:14:06,TCP,192.168.1.111,52091,159.124.61.107,443,97,PA
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,422,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,395,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,387,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,56788,453,-
2026-08-30 14:14:06,UDP,159.124.61.107,8801,192.168.1.111,64291,378,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,375,-
2026-08-30 14:14:07,OTHER,192.168.1.1,-,224.0.0.1,-,52,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,418,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:07,UDP,192.168.1.1,5355,224.0.0.252,5355,86,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,56788,473,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:07,TCP,159.124.61.107,443,192.168.1.111,52091,60,A
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:07,UDP,192.168.1.111,56788,159.124.61.107,8801,193,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,463,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,56788,611,-
2026-08-30 14:14:07,TCP,192.168.1.111,52111,159.124.61.107,443,92,PA
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,91,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,433,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,56788,302,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,341,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,331,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,248,-
2026-08-30 14:14:07,OTHER,192.168.1.111,-,224.0.0.252,-,46,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,463,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,520,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,56788,354,-
2026-08-30 14:14:07,TCP,159.124.61.107,443,192.168.1.111,52111,103,PA
2026-08-30 14:14:07,TCP,192.168.1.111,52111,159.124.61.107,443,121,PA
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,500,-
2026-08-30 14:14:07,TCP,159.124.61.107,443,192.168.1.111,52111,56,A
2026-08-30 14:14:07,TCP,159.124.61.107,443,192.168.1.111,52111,92,PA
2026-08-30 14:14:07,TCP,159.124.61.107,443,192.168.1.111,52091,133,PA
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,444,-
2026-08-30 14:14:07,TCP,192.168.1.111,52091,159.124.61.107,443,104,PA
2026-08-30 14:14:07,TCP,192.168.1.111,52111,159.124.61.107,443,54,A
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,465,-
2026-08-30 14:14:07,UDP,192.168.1.111,56788,159.124.61.107,8801,193,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,461,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,56788,217,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:07,UDP,192.168.1.111,56788,159.124.61.107,8801,123,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,56788,284,-
2026-08-30 14:14:07,TCP,159.124.61.107,443,192.168.1.111,52091,618,PA
2026-08-30 14:14:07,TCP,192.168.1.111,52091,159.124.61.107,443,54,A
2026-08-30 14:14:07,TCP,192.168.1.111,52091,159.124.61.107,443,97,PA
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,443,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,423,-
2026-08-30 14:14:07,TCP,159.124.61.107,443,192.168.1.111,52111,56,A
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,407,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,56788,350,-
2026-08-30 14:14:07,TCP,159.124.61.107,443,192.168.1.111,52091,60,A
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,473,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,471,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,397,-
2026-08-30 14:14:07,TCP,159.124.61.107,443,192.168.1.111,52091,126,PA
2026-08-30 14:14:07,TCP,192.168.1.111,52091,159.124.61.107,443,97,PA
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,56788,133,-
2026-08-30 14:14:07,UDP,192.168.1.111,56788,159.124.61.107,8801,151,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,404,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,56788,357,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,417,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,56788,123,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,402,-
2026-08-30 14:14:07,TCP,159.124.61.107,443,192.168.1.111,52091,60,A
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,397,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,106,-
2026-08-30 14:14:07,UDP,192.168.1.111,56788,159.124.61.107,8801,193,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,401,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,428,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,56788,355,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,56788,362,-
2026-08-30 14:14:07,TCP,159.124.61.107,443,192.168.1.111,52091,60,A
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:07,TCP,159.124.61.107,443,192.168.1.111,52091,133,PA
2026-08-30 14:14:07,TCP,192.168.1.111,52091,159.124.61.107,443,104,PA
2026-08-30 14:14:07,UDP,192.168.1.111,64291,159.124.61.107,8801,123,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,473,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,527,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,555,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,529,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,476,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,455,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,56788,1153,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,56788,1145,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,56788,1145,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,56788,1145,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,56788,1145,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,133,-
2026-08-30 14:14:07,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:07,UDP,192.168.1.111,64291,159.124.61.107,8801,151,-
2026-08-30 14:14:08,TCP,159.124.61.107,443,192.168.1.111,52091,60,A
2026-08-30 14:14:08,UDP,159.124.61.107,8801,192.168.1.111,64291,123,-
2026-08-30 14:14:08,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:08,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:08,UDP,192.168.1.111,56788,159.124.61.107,8801,194,-
2026-08-30 14:14:08,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
2026-08-30 14:14:08,UDP,159.124.61.107,8801,192.168.1.111,56788,1225,-
2026-08-30 14:14:08,UDP,159.124.61.107,8801,192.168.1.111,56788,1225,-
2026-08-30 14:14:08,UDP,159.124.61.107,8801,192.168.1.111,56788,1225,-
2026-08-30 14:14:08,UDP,159.124.61.107,8801,192.168.1.111,56788,1224,-
2026-08-30 14:14:08,UDP,159.124.61.107,8801,192.168.1.111,64291,448,-
